MALFORMED_COUNT=2
BAD	Awakening/Messages (K)/011.txt	MID_011_ED_ナレーション	bad-t-style	$t2$w0|이렇게, 이리스와 펠레지아의\n전쟁은 막을 내렸다.$k$p전쟁 후 바로, 크롬 왕자는 $Nu(과)와 같이\n이리스의 부흥을 위해 노
BAD	Awakening/Messages (K)/マイルーム挨拶.txt	MID_マイルーム挨拶_ノワール_夕	bad-backslash	어서 오세요…\n$Nu…\벌써… 밤이네요.
CRITICAL_COUNT_DIFF_TOTAL=33
TOP_CANDIDATES=120
DIFF	SCORE=14	Awakening/Messages (K)/011.txt	MID_012_OP2_プレイヤー女_02_PCF1	DELTA={'$Wa': (7, 6), '$Ws': (14, 13)}	JP=$t0$Wmクロム|6$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|！？　$Nu……！\nルキナは生まれて間もない。$k$p近くに母親が\nついていてやるべきだろう？$k\n$Wsクロム|$Wd$w0|$Wmusername|6$w0|$Wsusername|$Wa$E通常,|$SvpSE_VOICE_PLAYER_F#_E	KR=$t0$Wmクロム|6$w0|$Wsクロム|$Wa$SvpSE_VOICE_CHROM_EVT_34|!? $Nu……!\n루키나는 태어난 지 얼마 안 됐어.$k$p근처에 어머니가\n있어야 하지 않을까?$k\n$Wsクロム|$Wd$w0|$Wmusername|6$w0|$Wsusername|$Wa$E通常,|$SvpSE_VOICE_PLAYE
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_フラヴィア_親子.txt	MID_支援_マーク女_フラヴィア_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmフラヴィア|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsフラヴィア|$Wa$E笑,|$SvpSE_VOICE_FLAVIA_EVT_3|あぁ。ちょうど暇してたとこだよ。$k\n$	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmフラヴィア|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsフラヴィア|$Wa$E笑,|$SvpSE_VOICE_FLAVIA_EVT_3|응. 마침 한가하던 참이야.$k\n
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_ノワール_親子.txt	MID_支援_マーク女_ノワール_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmノワール|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsノワール|$Wa$E苦,汗|$SvpSE_VOICE_NOIR_EVT_1|えっ！？　えぇ…$k\n$Wsマーク女|$Wa$	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmノワール|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsノワール|$Wa$E苦,汗|$SvpSE_VOICE_NOIR_EVT_1|응!? 으응…$k\n$Wsマーク女|$Wa
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_ノノ_親子.txt	MID_支援_マーク女_ノノ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmノノ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsノノ|$Wa$E笑,|$SvpSE_VOICE_NONO_EVT_4|うん！　だいじょぶだよ。$k\n$Wsマーク女|$Wa$E	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmノノ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsノノ|$Wa$E笑,|$SvpSE_VOICE_NONO_EVT_4|응! 괜찮아.$k\n$Wsマーク女|$Wa$E笑,|
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_デジェル_親子.txt	MID_支援_マーク女_デジェル_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmデジェル|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsデジェル|$Wa$E通常,|$SvpSE_VOICE_DEGEL_EVT_6|えぇ、大丈夫よ。$k\n$Wsマーク女|$Wa	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmデジェル|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsデジェル|$Wa$E通常,|$SvpSE_VOICE_DEGEL_EVT_6|응. 괜찮아.$k\n$Wsマーク女|$W
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_ティアモ_親子.txt	MID_支援_マーク女_ティアモ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmマーク女|7$w0|$Wmティアモ|3$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsティアモ|$Wa$E笑,|$SvpSE_VOICE_TIAMO_EVT_7|えぇ。$k\n$Wsマーク女|$Wa$E	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmマーク女|7$w0|$Wmティアモ|3$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsティアモ|$Wa$E笑,|$SvpSE_VOICE_TIAMO_EVT_7|응.$k\n$Wsマーク女|$Wa$
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_チキ_親子.txt	MID_支援_マーク女_チキ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmチキ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsチキ|$Wa$E通常,|$SvpSE_VOICE_TIKI_EVT_4|えぇ、平気よ。$k\n$Wsマーク女|$Wa$E笑,|$	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmチキ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsチキ|$Wa$E通常,|$SvpSE_VOICE_TIKI_EVT_4|응. 괜찮아.$k\n$Wsマーク女|$Wa$E笑,
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_ソワレ_親子.txt	MID_支援_マーク女_ソワレ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmソワレ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsソワレ|$Wa$E通常,|$SvpSE_VOICE_SOIREE_EVT_7|うん、いいよ。$k\n$Wsマーク女|$Wa$E	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmソワレ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsソワレ|$Wa$E通常,|$SvpSE_VOICE_SOIREE_EVT_7|응. 괜찮아.$k\n$Wsマーク女|$Wa
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_セレナ_親子.txt	MID_支援_マーク女_セレナ_親子_Ｂ	DELTA={'$E': (12, 11)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmセレナ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsセレナ|$Wa$E通常,|$SvpSE_VOICE_SERENA_EVT_7|えぇ、いいわよ。$k\n$Wsマーク女|$Wa$	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmセレナ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsセレナ|$Wa$E通常,|$SvpSE_VOICE_SERENA_EVT_7|응. 괜찮아.$k\n$Wsマーク女|$Wa
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_セルジュ_親子.txt	MID_支援_マーク女_セルジュ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmセルジュ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsセルジュ|$Wa$E通常,|$SvpSE_VOICE_SERGE_EVT_3|えぇ、大丈夫よ。$k\n$Wsマーク女|$Wa	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmセルジュ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsセルジュ|$Wa$E通常,|$SvpSE_VOICE_SERGE_EVT_3|응. 괜찮아.$k\n$Wsマーク女|$W
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_スミア_親子.txt	MID_支援_マーク女_スミア_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmスミア|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsスミア|$Wa$E笑,|$SvpSE_VOICE_SMIA_EVT_9|はい、大丈夫ですよ。$k\n$Wsマーク女|$Wa$E	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmスミア|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsスミア|$Wa$E笑,|$SvpSE_VOICE_SMIA_EVT_9|네. 괜찮아요.$k\n$Wsマーク女|$Wa$E
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_シンシア_親子.txt	MID_支援_マーク女_シンシア_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmシンシア|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsシンシア|$Wa$E笑,|$SvpSE_VOICE_CYNTHIA_EVT_3|うん！　平気だよー。$k\n$Wsマーク女|	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmシンシア|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsシンシア|$Wa$E笑,|$SvpSE_VOICE_CYNTHIA_EVT_3|응! 괜찮아―$k\n$Wsマーク女|$
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_サーリャ_親子.txt	MID_支援_マーク女_サーリャ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmサーリャ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsサーリャ|$Wa$E通常,|$SvpSE_VOICE_SALLYA_EVT_20|えぇ…少しなら…$k\n$Wsマーク女|$	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmサーリャ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsサーリャ|$Wa$E通常,|$SvpSE_VOICE_SALLYA_EVT_20|응… 잠깐이라면…$k\n$Wsマーク
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_サイリ_親子.txt	MID_支援_マーク女_サイリ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmサイリ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsサイリ|$Wa$E通常,|$SvpSE_VOICE_SAYRI_EVT_5|あぁ、大丈夫だ。$k\n$Wsマーク女|$Wa$E	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmサイリ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsサイリ|$Wa$E通常,|$SvpSE_VOICE_SAYRI_EVT_5|그래. 괜찮다.$k\n$Wsマーク女|$Wa
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_オリヴィエ_親子.txt	MID_支援_マーク女_オリヴィエ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmオリヴィエ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsオリヴィエ|$Wa$E笑,|$SvpSE_VOICE_OLIVIE_EVT_5|は…はい、大丈夫ですよ。$k\n$Wsマー	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmオリヴィエ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsオリヴィエ|$Wa$E笑,|$SvpSE_VOICE_OLIVIE_EVT_5|네… 네에. 괜찮아요.$k\n$Ws
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_エメリナ_親子.txt	MID_支援_マーク女_エメリナ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmエメリナ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsエメリナ|$Wa$E笑,|$SvpSE_VOICE_EMELINA_EVT_19|えぇ…。だい、じょうぶ…$k\n$Wsマー	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmエメリナ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsエメリナ|$Wa$E笑,|$SvpSE_VOICE_EMELINA_EVT_19|응…. 괜, 찮아…$k\n$Wsマー
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_インバース_親子.txt	MID_支援_マーク女_インバース_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmインバース|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsインバース|$Wa$E笑,|$SvpSE_VOICE_INVERSE_EVT_21|ふふっ、大丈夫よぉ？$k\n$Wsマー	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmインバース|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsインバース|$Wa$E笑,|$SvpSE_VOICE_INVERSE_EVT_21|후훗, 괜찮단다.$k\n$Wsマ
DIFF	SCORE=3	Awakening/Messages (K)/マーク女_アンナ_親子.txt	MID_支援_マーク女_アンナ_親子_Ｂ	DELTA={'$E': (11, 10)}	JP=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmアンナ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|母さんっ、今時間いいですか？$k\n$Wsアンナ|$Wa$E通常,|$SvpSE_VOICE_ANNA_EVT_3|えぇ、ちょうどお店も休みだし。$k\n$Wsマーク女	KR=$SbpSTRM_BGM_EVT_HEIWA1_2|50|$t1$Wmアンナ|3$Wmマーク女|7$w0|$Wsマーク女|$Wa$E笑,|$SvpSE_VOICE_MARC_F_EVT_98|엄마, 지금 시간 괜찮으세요?$k\n$Wsアンナ|$Wa$E通常,|$SvpSE_VOICE_ANNA_EVT_3|응. 마침 가게도 쉬는 시간이고.$k\n$W
